pid,name,cores,cpu_usage,status,memory_usage,read_bytes,write_bytes,n_threads
4,System,0,0.0,running,0,87346208,1405568293,254
72,,0,0.0,stopped,0,0,0,0
132,Registry,0,0.0,running,0,5726208,323678208,4
296,svchost.exe,8,0.0,running,5300224,566487,4059107,9
456,dllhost.exe,8,0.0,running,974848,26760,0,6
500,smss.exe,0,0.0,running,0,16804,24724,2
592,LsaIso.exe,0,0.0,running,0,0,0,1
720,lsass.exe,0,0.0,running,0,2833630,2572540,12
796,csrss.exe,0,0.0,running,0,439553,0,12
880,wininit.exe,0,0.0,running,0,9220,0,1
908,Microsoft.Photos.exe,8,0.0,stopped,16384,111942723,136467837,16
996,services.exe,0,0.0,running,0,575668,160,7
1044,svchost.exe,0,0.0,running,0,31111232,2555904,25
1088,fontdrvhost.exe,0,0.0,running,0,0,0,5
1160,WUDFHost.exe,0,0.0,running,0,5619684,128,12
1204,svchost.exe,0,0.0,running,0,442368,0,13
1260,svchost.exe,0,0.0,running,0,0,0,5
1328,IntelCpHeciSvc.exe,0,0.0,running,0,1282,124,3
1360,ctfmon.exe,8,0.0,running,0,64756,0,13
1476,svchost.exe,0,0.0,running,0,5158,0,3
1484,svchost.exe,0,0.0,running,0,0,0,1
1536,svchost.exe,0,0.0,running,0,0,0,4
1548,node.exe,8,0.0,running,0,3369141,0,9
1572,svchost.exe,0,0.0,running,0,516,30092898,13
1624,IntelCpHDCPSvc.exe,0,0.0,running,0,724,0,3
1632,svchost.exe,0,0.0,running,0,2506868,3735712,2
1648,svchost.exe,0,0.0,running,0,0,0,11
1656,svchost.exe,0,0.0,running,0,0,0,3
1708,SystemSettings.exe,8,0.0,stopped,16384,396659,24,22
1740,svchost.exe,0,0.0,running,0,0,0,2
1748,svchost.exe,0,0.0,running,0,0,0,5
1756,SearchProtocolHost.exe,0,0.0,running,0,777,0,6
1780,taskhostw.exe,8,0.0,running,0,10999,10972,4
1796,svchost.exe,0,0.0,running,0,714,0,4
1836,svchost.exe,0,0.0,running,0,0,0,4
1892,svchost.exe,0,0.0,running,0,394158568,121731342,9
1932,MpCopyAccelerator.exe,0,0.0,running,0,192593301,192590593,2
2012,svchost.exe,0,0.0,running,0,0,0,9
2036,svchost.exe,0,0.0,running,0,0,0,1
2060,pythonw.exe,8,0.0,running,22507520,2816971,108,2
2064,svchost.exe,0,0.0,running,0,28236,0,2
2084,svchost.exe,0,0.0,running,0,0,0,7
2244,svchost.exe,0,0.0,running,0,0,0,4
2252,igfxCUIService.exe,0,0.0,running,0,1448,0,2
2348,svchost.exe,0,0.0,running,0,0,0,5
2364,svchost.exe,0,0.0,running,0,0,0,1
2420,node.exe,8,0.0,running,0,51445253,0,12
2436,svchost.exe,0,0.0,running,0,75978520,1296608,17
2448,DiagsCap.exe,0,0.0,running,0,1851290,7040,3
2452,NetworkCap.exe,0,0.0,running,0,11076620,65822,3
2464,SysInfoCap.exe,0,0.0,running,0,38636636,284488,14
2472,AppHelperCap.exe,0,0.0,running,0,9966782,20079,3
2568,chrome.exe,8,0.0,running,1822720,3562217,451940,14
2596,svchost.exe,0,0.0,running,0,1392,1920,5
2612,brave.exe,8,0.0,running,18444288,98472757,120198780,16
2648,TouchpointAnalyticsClientService.exe,0,0.0,running,0,51938161,25057577,20
2720,svchost.exe,0,0.0,running,0,0,0,6
2736,svchost.exe,0,0.0,running,0,9979306,326668,11
2796,svchost.exe,0,0.0,running,0,135532164,135752,7
2836,svchost.exe,0,0.0,running,0,0,0,10
2916,BridgeCommunication.exe,8,0.0,running,1347584,8650191,3340,5
2924,svchost.exe,0,0.0,running,0,16164,0,10
2964,taskhostw.exe,8,0.0,running,2367488,3491774,24225770,8
3020,svchost.exe,0,0.0,running,0,763,3052,5
3052,svchost.exe,0,0.0,running,0,0,0,5
3140,svchost.exe,0,0.0,running,0,0,0,1
3216,svchost.exe,0,0.0,running,0,0,32768,13
3224,svchost.exe,0,0.0,running,0,56084,0,12
3260,svchost.exe,0,0.0,running,0,0,0,1
3384,svchost.exe,0,0.0,running,0,0,0,3
3392,svchost.exe,0,0.0,running,0,2835394,28129920,5
3436,svchost.exe,0,0.0,running,0,0,0,5
3444,svchost.exe,0,0.0,running,0,0,0,7
3468,RuntimeBroker.exe,8,0.0,running,3112960,4633769,568,13
3476,MemCompression,0,0.0,running,0,0,0,114
3580,svchost.exe,0,0.0,running,0,0,0,14
3632,backgroundTaskHost.exe,8,0.0,stopped,16384,4566,57,10
3648,GoogleCrashHandler64.exe,0,0.0,running,0,712,560,3
3740,svchost.exe,0,0.0,running,0,0,0,6
3748,svchost.exe,0,0.0,running,0,0,0,13
3856,svchost.exe,0,0.0,running,0,0,0,1
3860,conhost.exe,8,0.0,running,0,8094,0,5
3888,svchost.exe,0,0.0,running,0,573523,160,16
3920,brave.exe,8,0.0,running,2711552,1804004,1547692,16
3968,svchost.exe,0,0.0,running,0,0,0,4
4048,wlanext.exe,0,0.0,running,0,13545,0,9
4068,conhost.exe,0,0.0,running,0,0,0,2
4076,spoolsv.exe,0,0.0,running,0,232,320,7
4128,svchost.exe,0,0.0,running,0,393008,666868,5
4208,svchost.exe,0,0.0,running,0,46237502,41553888,14
4216,svchost.exe,0,0.0,running,0,73072640,209321984,18
4224,svchost.exe,0,0.0,running,0,0,0,1
4232,mDNSResponder.exe,0,0.0,running,0,1276,1760,2
4244,DSAService.exe,0,0.0,running,0,2527771,3340985,17
4252,BTDevMgr.exe,0,0.0,running,0,0,83039,2
4264,svchost.exe,0,0.0,running,0,0,0,4
4276,ETDService.exe,0,0.0,running,0,0,0,4
4284,OneApp.IGCC.WinService.exe,0,0.0,running,0,346616,43469,7
4316,sppsvc.exe,0,0.0,running,0,428530,0,10
4360,svchost.exe,0,0.0,running,0,116,160,5
4388,svchost.exe,0,0.0,running,0,0,0,1
4416,svchost.exe,0,0.0,running,0,3072,0,3
4472,svchost.exe,0,0.0,running,0,23552,0,3
4484,svchost.exe,0,0.0,running,0,993020,132000,7
4492,SynAudSrv.exe,0,0.0,running,0,0,0,5
4500,SECOMN64.exe,0,0.0,running,0,1059204,0,5
4508,SearchIndexer.exe,0,0.0,running,0,56734108,141934698,19
4516,CxAudioSvc.exe,0,0.0,running,0,132074,0,9
4532,svchost.exe,0,0.0,running,0,0,0,4
4540,RstMwService.exe,0,0.0,running,0,0,0,6
4552,RtkBtManServ.exe,0,0.0,running,0,0,10304,2
4560,RtkAudUService64.exe,0,0.0,running,0,0,0,12
4580,SurSvc.exe,0,0.0,running,0,489209,926936,8
4600,MsMpEng.exe,0,0.0,running,0,49997450884,69921093602,41
4640,svchost.exe,0,0.0,running,0,2761156,19366492,7
4676,XtuService.exe,0,0.0,running,0,160616,11650,12
4696,WildTangentHelperService.exe,0,0.0,running,0,35754,8340,17
4736,esif_uf.exe,0,0.0,running,0,128,1192,3
4836,svchost.exe,0,0.0,running,0,0,0,13
4964,chrome.exe,8,0.0,running,1597440,399619,44352,7
5024,svchost.exe,0,0.0,running,0,0,0,3
5040,svchost.exe,0,0.0,running,0,0,0,4
5108,jhi_service.exe,0,0.0,running,0,0,0,2
5176,svchost.exe,0,0.0,running,0,464,640,12
5204,RuntimeBroker.exe,8,0.0,running,1753088,290,160,7
5224,BraveCrashHandler.exe,0,0.0,running,0,6604,3372,3
5244,javaw.exe,8,0.0,running,7856128,2477122,0,18
5272,brave.exe,8,0.0,running,53682176,139852985,22688168,17
5356,dasHost.exe,0,0.0,running,0,0,607670,3
5468,GoogleCrashHandler.exe,0,0.0,running,0,6784,3532,3
5516,brave.exe,8,0.0,running,1609728,2748888,3510936,11
5564,ETDCtrl.exe,8,0.0,running,225280,0,0,13
5664,svchost.exe,0,0.0,running,0,0,0,7
5832,svchost.exe,0,0.0,running,0,46950,581632,4
5996,WmiPrvSE.exe,0,0.0,running,0,36488242,3104920,10
6172,conhost.exe,8,0.0,running,0,60,0,3
6248,unsecapp.exe,0,0.0,running,0,0,0,2
6260,svchost.exe,0,0.0,running,0,0,0,7
6540,WmiPrvSE.exe,0,0.0,running,0,0,0,5
6600,powershell.exe,8,0.0,running,0,430938,7794,13
6628,RuntimeBroker.exe,8,0.0,running,397312,14972,0,2
6668,dwm.exe,0,0.0,running,0,1753432,0,14
6812,wmpnetwk.exe,0,0.0,running,0,326821,2168,6
7004,cmd.exe,8,0.0,running,0,446479,0,1
7072,svchost.exe,8,0.0,running,749568,0,0,4
7400,svchost.exe,0,0.0,running,0,853168,70656,4
7444,chrome.exe,8,0.0,running,520192,404879,405952,8
7480,RtkAudUService64.exe,8,0.0,running,733184,0,0,11
7508,DSAUpdateService.exe,0,0.0,running,0,2614725,4802,7
7568,chrome.exe,8,0.0,running,196608,824,48,7
7672,PresentationFontCache.exe,0,0.0,running,0,370481,0,4
7784,SkypeApp.exe,8,0.0,stopped,507904,33326912,109401,47
8008,RuntimeBroker.exe,8,0.0,running,86016,0,0,1
8064,NisSrv.exe,0,0.0,running,0,0,0,12
8248,svchost.exe,8,0.0,running,7249920,128030354,115425565,13
8272,svchost.exe,0,0.0,running,0,496960,0,6
8416,HPAudioSwitch.exe,8,0.0,running,5181440,844506,2391,14
8424,svchost.exe,0,0.0,running,0,5392,0,3
8492,brave.exe,8,0.0,running,491520,16736,5352,7
8544,TrustedInstaller.exe,0,0.0,running,0,4355,9455,4
8596,hpqwmiex.exe,0,0.0,running,0,7800,0,5
8652,svchost.exe,0,0.0,running,0,12298,53966,9
8852,svchost.exe,0,0.0,running,0,95957,57344,8
8936,svchost.exe,0,0.0,running,0,285454,9138,9
8948,winlogon.exe,0,0.0,running,0,250076,0,5
9084,brave.exe,8,0.0,running,104812544,20011394,49489754,19
9116,brave.exe,8,0.0,running,23961600,47720134,129873263,17
9248,ApplicationFrameHost.exe,8,0.0,running,9089024,45952,0,20
9344,smartscreen.exe,8,0.0,running,5398528,13556,160,8
9392,HPCollaborationKeyboard.exe,8,0.0,running,0,156086,10733,15
9740,brave.exe,8,0.0,running,1564672,445652,1078016,16
9900,RuntimeBroker.exe,8,0.0,running,1392640,35698472,0,1
10028,conhost.exe,8,0.0,running,0,9303,0,3
10048,svchost.exe,0,0.0,running,0,116,160,4
10064,RuntimeBroker.exe,8,0.0,running,2834432,78638,248,12
10092,brave.exe,8,0.0,running,19783680,2251907,2051070,22
10224,BraveCrashHandler64.exe,0,0.0,running,0,756,480,3
10228,SecurityHealthService.exe,0,0.0,running,0,7350,4096,8
10316,WhiteboardWRT.exe,8,0.0,stopped,249856,85605824,46103827,16
10444,brave.exe,8,0.0,running,32047104,6206318,29275822,16
10516,SgrmBroker.exe,0,0.0,running,0,82948,0,9
10524,Music.UI.exe,8,0.0,stopped,90112,10395648,245760,14
10584,svchost.exe,0,0.0,running,0,348,480,8
10596,brave.exe,8,0.0,running,2633728,472284,1101488,16
10632,sihost.exe,8,0.0,running,5144576,1804845,0,17
10716,pythonw.exe,8,0.0,running,47013888,10947615,0,12
10740,svchost.exe,0,0.0,running,0,122880,2973696,1
11300,csrss.exe,0,0.0,running,0,14499570,0,15
11320,svchost.exe,8,0.0,running,1589248,0,0,8
11324,brave.exe,8,0.0,running,115576832,6693240376,5960292516,31
11368,TextInputHost.exe,8,0.0,running,3268608,39393,0,9
11448,SkypeBackgroundHost.exe,8,0.0,stopped,81920,4096,0,4
11600,UserOOBEBroker.exe,8,0.0,running,765952,0,0,4
11828,HPCommRecovery.exe,0,0.0,running,0,3187838,1504,10
11936,brave.exe,8,0.0,running,3403776,20980,139920,6
12016,brave.exe,8,0.0,running,23187456,115456600,61453625,17
12024,SearchApp.exe,8,0.0,stopped,16384,48696664,25956258,67
12340,LockApp.exe,8,0.0,stopped,16384,41307,0,16
12360,RuntimeBroker.exe,8,0.0,running,1691648,189475,160,3
12460,svchost.exe,8,0.0,running,19656704,91132,0,15
12768,svchost.exe,0,0.0,running,0,1167360,294912,8
12804,fodhelper.exe,0,0.0,running,0,0,0,1
12812,RuntimeBroker.exe,8,0.0,running,82812928,138836,828,13
12828,igfxEM.exe,8,0.0,running,528384,0,25308,3
12928,YourPhone.exe,8,0.0,stopped,16384,8445,193,12
12944,CollaborationKeysController.exe,8,0.0,running,0,6251,12927,5
13136,ShellExperienceHost.exe,8,0.0,stopped,24576,472877,0,16
13172,svchost.exe,8,0.0,running,2879488,13968,160,14
13212,SecurityHealthSystray.exe,8,0.0,running,94208,0,0,1
13284,HPJumpStartBridge.exe,0,0.0,running,0,819090,0,5
13308,RtlS5Wake.exe,8,0.0,running,548864,10082,0,3
13380,brave.exe,8,0.0,running,194498560,4813230920,995718524,14
13388,dllhost.exe,0,0.0,running,0,2801664,647168,5
13532,brave.exe,8,0.0,running,29753344,4690049,115894457,16
13700,brave.exe,8,0.0,running,19574784,417948,431580,22
13704,brave.exe,8,0.0,running,3649536,53444530,81873804,7
13720,eclipse.exe,8,0.0,running,106319872,1202703282,86367859,75
13732,brave.exe,8,0.0,running,14815232,230518628,66471872,16
13888,cmd.exe,8,0.0,running,0,23250,0,1
13940,dllhost.exe,8,0.0,running,479232,16683008,4362240,6
13964,explorer.exe,8,0.0,running,41787392,196698074,6730562,98
14032,RuntimeBroker.exe,8,0.0,running,872448,0,0,3
14332,StartMenuExperienceHost.exe,8,0.0,running,7659520,426813,0,10
14408,TiWorker.exe,0,0.0,running,0,87911023,1904124,2
14416,svchost.exe,0,0.0,running,0,2796754,197147,17
14708,RuntimeBroker.exe,8,0.0,running,4362240,525278,342645,15
14740,GameBar.exe,8,0.0,running,2392064,45771,0,8
14792,svchost.exe,0,0.0,running,0,518768,390888,9
14864,RuntimeBroker.exe,8,0.0,running,397312,4096,0,2
14900,explorer.exe,8,0.0,running,26525696,2785448,285958,23
14980,svchost.exe,0,0.0,running,0,0,0,4
15176,Video.UI.exe,8,0.0,stopped,16384,14967937,256912,18
15496,HPJumpStartLaunch.exe,8,0.0,running,0,102,0,1
15520,svchost.exe,0,0.0,running,0,3033509,2341860,3
15548,svchost.exe,0,0.0,running,0,4301997,1033,4
15604,fontdrvhost.exe,0,0.0,running,0,0,0,5
15768,HPSystemEventUtilityHost.exe,8,0.0,running,8699904,614211,886,9
15824,brave.exe,8,0.0,running,211202048,21443436,23312568,21
15856,audiodg.exe,8,0.0,running,0,812804,0,6
15904,java.exe,8,0.0,running,0,148059446,140294956,112
16176,svchost.exe,0,0.0,running,0,1320,4308,10
16288,svchost.exe,0,0.0,running,0,5491,0,2
16468,controller.exe,8,0.0,running,0,41218,527,4
16564,brave.exe,8,0.0,running,1781760,561788,1237440,16
16600,RuntimeBroker.exe,8,0.0,running,729088,305572,0,3
16816,rundll32.exe,8,0.0,running,12288,4732,0,1
17016,brave.exe,8,0.0,running,16683008,742923429,2806139054,12
17068,WinStore.App.exe,8,0.0,stopped,344064,115587,2403087,22
17256,SearchFilterHost.exe,0,0.0,running,0,11304,0,7
17268,SettingSyncHost.exe,8,0.0,running,835584,210914989,29017145,4
